text_hash,text,thesis_class,severity,pred_baseline,conf_baseline,source_baseline,pred_var1,conf_var1,source_var1,pred_var2,conf_var2,overridden,var2_agent_label,is_holdout
b338ffcee9fc1b5900f6ceb469f1ae79c3bd706624c0fd475135ae3e8505de61,Clothes are tigered in Google Bodybrowser using ANGLE,pausa,normal,stop,0.85,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,1
b6f500f006ded41d74c32e874f55c87ea27a83cae1066ba78051ecad7845b3b5,lots of plugin-related file IO,pausa,normal,stop,0.85,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
d1b96f0d8ecd18d908936f641166c3e5b797763ca4a64ca856f130be54938059,Investigate why offlinecache triggers writes when reading from the cache,pausa,normal,pausa,0.75,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,1
a8f390c58560a8790d29008b21c3d1efd960c61c3185a95cd91f831f1803eb54,"[SeaMonkey, Linux] ""TEST-UNEXPECTED-FAIL | jit_test.py [...] basic/testRegExpTest.js: ==3623=="" (and more)",pausa,major,pausa,0.85,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,1
273d28147f5877244923e2b1e468eb4f672d700397b704b76c9b90f0879c040c,Progress dialog does not properly close on Leopard,pausa,normal,pausa,0.7,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
6f8204499e80d326addffd697cd2de00a211b74b4f603f999d5d79ae419a0cc5,"""Assertion failure: hasFunction(),"" with sharps",stop,critical,stop,0.95,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,stop,0.55,True,pausa,0
5d6d127b60e15cf454b53ab11f82a87670b61e0214fcbe5c4c4b039d607d9af8,Anything getting focus inside a repeat row should change index,pausa,normal,pausa,0.7,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
7464ceba6c66c69efc4e2a582a313e6949930137b2554321dcb0d95ca8467c10,[@ CSSLoaderImpl::SheetComplete - ... CSSLoaderImpl::SheetComplete],stop,critical,stop,0.95,deepseek_cache,play,0.75,crewai_cache,play,0.75,False,play,0
7d68bec9a29b5d4c54101ba60f25e99d000774882359641a0e8eca4626578fd9,renaming a project prompts for deleting launch configs,pausa,normal,pausa,0.85,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
b9515602146a02e939bd94533e45ec82e9143cd378185e739a9318698b40026a,handler conflict in org.eclipse.ui.examples.jobs/plugin.xml,play,trivial,pausa,0.85,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
82c75117b7db95e720b017ba43a48d6f4a1a908b99ab25ad7c0f7291a53d78fc,Crash in [@nsPluginInstanceOwner::ReleasePluginPort(void*)],stop,critical,stop,0.95,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,stop,0.55,True,pausa,0
4c631e2116428ab0797ec862b72535cd7c9a5aa8701d9eef13a6bae08d523eac,view | folders sub-menu doesn't include smart folders,pausa,normal,play,0.8,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
0faabe2e1677cd1aaf654cd550fd1890fd43680d999b512a37b0a2b04c19f348,[Accessibility] Add Watchpoint dialog - input boxes do not provide a label,play,minor,play,0.85,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,1
c2fe79b141e00c30134ef23b651121f0f9077334ebbcb7a7f8809c28bbec3e5a,regexp.text doesn't  work on 64 bit linux builds,stop,blocker,pausa,0.85,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
bf094bca985be3654a4b16cecaa14b594881d4ef78a494bde0d5fdafd657ae9c,Browser Debugger should freeze debuggee execution when paused,pausa,normal,pausa,0.95,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
e1867e00445421cccafe1a0e9c216044867a918307433adb63b52afa5b2722d9,"configure --disable-compile-environment busted on windows, atl etc",pausa,normal,stop,0.85,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,1
127caefca4ae5bb454be4cb4419b5f6e75abb9e1a362f8e597a378082731cb71,Flash does not work in SmugMug,pausa,normal,pausa,0.7,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,stop,0.55,True,pausa,1
35c9d67b7076417a4166ebed22fbea7c8d7ea9ed0fbbabb1168cb91af3712cf2,"Renaming some identifiers fails with ""An unexpected exception occurred...""",pausa,normal,pausa,0.7,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
3131e7dfb745ac264427889cfee10c62b97bd0101d587c949ce982125f751658,HTML forms displayed in SWT Browser does not accept accented characters input,stop,critical,pausa,0.75,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,stop,0.55,True,pausa,0
a565487dabf5a9ba6e613a95d40d37c685f9ac8fdcc8a7139889c48b60de140d,External Tools Launch delegate shouldn't wait for launched process to exit,pausa,normal,play,0.85,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
c15913ce8a802b3406d4eb4763b133d9684ef0d19a4d56e5b3b27dc0faf444c7,Switch systemLanguage: transient error again,pausa,normal,pausa,0.7,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
e7a4f2c15811f16915c53d482f1d1e6902fd92ee8ef1c774372e50befc1878d6,Dropdowns are fugly,pausa,normal,pausa,0.7,deepseek_cache,play,0.75,crewai_cache,play,0.75,False,play,0
6c2023480837ffd793e7b841b4451b6b38fbbd3a9873f8b62f999d79d2362a41,Fix XPCShell password authentication tests so that they don't pass around fake docShells,pausa,normal,play,0.85,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
7de056f55aa90f96d9a51ee0b3c39db2f90c8cfb99bf04524747d4c94b05ff39,Bug 774139 will break Qt/Maemo builds due to #define signals,pausa,normal,stop,0.95,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,1
32e6fa454a1be9970f3a7f2df6bba2477f2495d4451b9444602c512dce1bc9f6,org.eclipse.jdt.internal.compiler.batch.Main writes bad characters to an xml log file,pausa,normal,pausa,0.75,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
e45fc8cccc7b95c6c876df197bfd5440432a074f5691bda96363b1ec60cc8a25,Wrong version of platform.doc.isv in 3.4.x branch,pausa,normal,pausa,0.7,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
a6680ed767e8fd7ada2b32e0c4361670db8cba8ec310d5b83894b3ddab31b9cb,Disable Places on Trunk,pausa,normal,pausa,0.7,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
3286477e8f580de80a75b932e23b9931e59241383e86089aece419084bf14b24,No search results due to malformed search scope,pausa,normal,pausa,0.75,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,stop,0.55,True,pausa,0
6479fb18f4ecf55b868e67f0752364638e47b61554098974226069553d44fc81,Embed Propertypage Remote Compromise (version 2),stop,critical,stop,0.95,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
322fbff8724456303e801f832161b4793dcf291e011ec446a4de11a7c9e4c779,Refactor the script debugger to use the modified hook API,pausa,normal,pausa,0.85,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,1
a22790f4efac31e79a68854bff313f399bca47785d7a7e24f5138d4d620e359f,"[expressions] Add ""product"" property to platform property tester",pausa,normal,pausa,0.85,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
844e1acb997f78be2d5cc3d7ce068cf3e86d72f0eca84a3539aa7801ede6fe9d,Java applet + Java console + any key = Firefox Crash,pausa,normal,stop,0.95,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,stop,0.55,True,pausa,1
b1219e55f926e20969cf1e8ecddd80dbfe9328f5c51fa2b45b78446e787c139f,Signature#createIntersectionTypeSignature(..) should take array of signatures,pausa,normal,pausa,0.85,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
a7d6a8ae8dd32e8e376f453daef9820ee61a607327ed71a9c7e03077a87f6b5a,"TI: Assertion failure: obj->nativeContains(*shape), at jsinterp.cpp:4355",stop,critical,stop,0.95,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,stop,0.55,True,pausa,0
e840fb9305c81b50a3860d58d32c8da9c9beae5a0301f850e715a757a2156e6d,Permanent orange: TEST-UNEXPECTED-FAIL | test-eml-subject.js | test-eml-subject.js::test_eml_normal_subject,pausa,normal,stop,0.95,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,1
616a1b3b78474819bc0d9513585731aa895242356ed4686e0c668df757219439,Android packaging should use standard packaging code,pausa,normal,play,0.85,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
ac5462f18506148837cf43c3ce39e9b85853666e7342b2ae02615afc7dcd84a8,Project Explorer Link with Editor tooltip verbose and truncated,play,minor,pausa,0.7,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,1
3ddb06e187d479e306f0871690bac62618c889a0523045296b07a4305b1b9d00,JS_LookupUCProperty fatal-asserts when lookup up property on dense array,pausa,normal,stop,0.95,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
5859d6f4e010dfa1150fdad18443c920c662574a6df62165e5c37c39bac3a4e8,Nightly mac builds are over 285MB in size,pausa,major,stop,0.85,deepseek_cache,play,0.75,crewai_cache,pausa,0.85,True,play,0
5bbb5f3b3bdefd79e8ef37041ae97309b6e9c5ef33278b3bb3b867d1caf1b9bb,"User Defined dropdown in ""Options>Privacy>Cookies"" is empty",pausa,normal,play,0.85,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,1
937cac14895ce6f945ffa7939c8d8845360060cc3648348e96a3a66b7a518cf2,Crash [@ nsClipboard::HasDataMatchingFlavors],pausa,normal,stop,0.95,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,stop,0.55,True,pausa,0
96e716d42f2d18184bba74dbed10bc6d22d08cf626a5018934992709900eb10a,fix format of @supports reftests,pausa,normal,play,0.9,deepseek_cache,play,0.75,crewai_cache,play,0.75,False,play,0
8ae708ddd73f307c16169ac1782e604c248a988d6ae82f6761757eb5548386ef,"A blocking ""java.lang.IllegalArgumentException: info cannot be null"" exception",stop,blocker,stop,0.85,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
c53049828e5bd02770affb434d8eff15d4a4791e4a24488e6548ea2bf4adf687,Don't restore session into a new window if only the home page is open,pausa,normal,pausa,0.85,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,1
4f034c9cc8246756d5f94bd65e7901447c5824a64478fc40ccf74aadac7cfc33,please tag these debug bundles so they include source references for the 3.6 release,pausa,normal,play,0.9,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
2e75a114bceecd943769b5b3145dcdbd9ddc34ba89e7ca13ba27fad0b934bf9d,need to turn off --enable-official-branding on 1.8 branch tinderboxen,pausa,normal,play,0.9,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
4827f7a503ac54179476105353e0042e3c51f6728397865050f12a7f7dc993bf,$OBJDIR/media/mtransport/standalone/nricectx.cpp:87:131: warning: extra ‘;’ [-pedantic],pausa,normal,play,0.95,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
272acb087c6de276b2d765a507a8750ad47140a8f5a0cdc99c111182a354bd6c,Cannot build with Visual Studio 2008SP1 (VC9) since Bug 486918,pausa,normal,stop,0.85,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,stop,0.55,True,pausa,1
e18f34becf4f8a98618fdf5fb01831800901981c4012d93da20e7214acafb798,"get rid of client.py's update, make checkout smarter",pausa,normal,play,0.85,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,1
fd6bb9676aa960f06b807db09e3b5b3fed31e361134ecea368bb8126a94a8e7d,celliterator assert with empty table,pausa,normal,pausa,0.7,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,1
7e7a17fe1640db6ade2c39bb59ecd83c19513d031fe38279d0ed5d64c5d21369,Consistently pass the right frame to InvalidateInternal,pausa,normal,play,0.85,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,1
262472dd90c85e4deb9b2029575d55ddf819f437043f0e9dc31689b976b23e28,Switch from QWidgets to QGraphicsWidgets,pausa,normal,play,0.85,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
01ecd6177ee73e60656938e0f0499fe3330db9f03721e26eefa6daf8bbe13590,Failing HCR test on Mac OS Cocoa,pausa,normal,pausa,0.85,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,1
b629717ee2c78efe81047f5ea63e37b0f72c4f675577af2fbdbbd69695596aa9,HTMLInputElement and HTMLButtonElement should implement formtarget attribute which override HTMLFormElement target attribute,pausa,normal,pausa,0.85,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,1
c957bf52c7a94994b41a46294c65f06833220772484affcd7c39c045ff2e0d14,document.activeElement returns wrong node,pausa,normal,pausa,0.75,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,1
6c7f8c49f60ba561068c9d59a29b395337b6e54ecb3bee5083b7914094c3a5cb,ForeCastFox extension unable to display Icons,pausa,normal,pausa,0.75,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
0b53d6658c83a53c84951c3ff3c6cea06330a91ca6c57f90aa8861c8695943ed,ConcurrentModificationException in Saveables framework when closing part,stop,critical,pausa,0.85,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
b26b8177d055d7ced041b1302c2949c01ae7c13381568218b770ea8fc188340b,localStorage.key() gets out-of-sync when localStorage is updated in a separate window,pausa,normal,pausa,0.85,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
97655fcbe6b3fe60680050d0446feb56fb33892c9a9afe20cc6f943a7d300fd2,Dehydra:Missing function call arguments in copy constructor,pausa,normal,pausa,0.7,deepseek_api,play,0.75,crewai_cache,pausa,0.85,True,play,0
39a29dc81b4975da444783ac60299f2351a014bdaea87ed64965e796ec0c38fc,Browser goes into an endless loop,pausa,major,stop,0.95,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,1
cdf8895e0a675a95636bce500d14604bfbf5e911bc22173bc40626c2f0fd2b58,importing_existing_projects,play,minor,pausa,0.7,deepseek_cache,play,0.75,crewai_cache,play,0.75,False,play,0
49aaaaa339be47bd78422b99f218fc0483d35e06d757b4f5a220f5b606dffc17,ContentProposalAdapter with Text produces unwanted popup on Enter,pausa,normal,pausa,0.85,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
86d613d07a9c70b52e6fa910c10d890a9032cbc39f7203d194d1bf634c3e3a24,TM: Crash [@ 0x000fdecb],stop,critical,stop,0.95,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,stop,0.55,True,pausa,1
7ff06f43bcb2b2b1d4086364e4dd8721a010276af13a471d5254dd9783b34e2a,New Java Project Wizard should allow Execution Environment as JRE,pausa,normal,play,0.85,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
46d2787e16d9dcec0163edfc1a78c9d61df6a20402cf7e9686d5c3b0077a76fc,"Treat FutureReservedWords as errors when encountered as function or argument name for a function containing ""use strict"" directive",pausa,normal,play,0.85,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,1
1225cafdf86e0b337c0935ab1907ce1f91d502b5f13583ec6cd663c45162990b,Wrong __stdcall check on win64.,pausa,normal,stop,0.95,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,1
3c5d8a2cd4703870cfc24a9696030c3ffcb76408bb376876c853826bccd70aaa,"[Trunk] Secure (encrypted, https) sites loading as being partially encrypted. Broken lock is present as is the white address bar",pausa,normal,stop,0.95,deepseek_api,stop,0.75,crewai_cache,stop,0.75,False,stop,0
40c1cce09cf60873e27dfd774ce5892f8a7ba8d8d80aa0d912a82cece5d7d38c,Existing Snippet Does Not Function as Expected,pausa,normal,pausa,0.75,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,1
627ca699ecd62b4a09c75dafca846eba19509b116957710a69583e483bc3780c,One more screen shot to update in Team CVS Tutorial,play,trivial,play,0.7,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
38d12e296a24b749c33d9544d253fa8e79d98f101dc35cbd62da03612bd31c38,Take advantage of old yes/no constant in nsIPromptService,play,trivial,play,0.85,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,stop,0.55,True,pausa,1
cb51982b2ce2acc1fdea8bae05c71dc58cbd6c63452f00098474b4d34b11be67,"Incorrect, inconsistent handling of initial offer with c=IN IP4 0.0.0.0",pausa,normal,pausa,0.75,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
f5faa99ec298100abfc834d79689776b7a3267c4f929c8b1fdc6da5148f71a5a,Problems with spawner and fast  (Dual Core) machines,pausa,normal,pausa,0.7,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
99b81a6b2df817378edf18209326bdb02a5965e27f0aae12b4f1ce80e5ab9ae1,videoWidth and videoHeight should be valid when loadedmetadata fires,pausa,normal,play,0.85,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
7386e6e9e23bd952ad8ffa1ae0ed68b0b9ae3d93ba1682bc52c6d8a3a050dcfc,folder pane changes to smart folders if Open in Folder used from Search Messages with open messages in new window preference,pausa,normal,pausa,0.75,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
f6b84a49d033d3bfa9508f9be589d52ac77005138633aea036b13a16ca9c9419,change minVersion for 1.8.0,pausa,normal,pausa,0.7,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
a52e2d75e4cf740f6788c75d7572200271f0f7dabf041cb752aedfb145414089,requirement to implement IModelNavigateProxy,pausa,normal,pausa,0.65,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
3ca30e82bf8327bae125ac378dadfeaae67c7f42b3e431f47b95a2d948af045e,tab scrolling:  scenario where open link in background doesn't enable the scroll button,pausa,normal,play,0.85,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,1
4ccb500ba4e2358a71c3e90e9a53255b429e6eee38fc5448afffcad25ace0596,Remove Document.xmlStandalone,pausa,normal,pausa,0.95,deepseek_cache,play,0.75,crewai_cache,play,0.75,False,play,0
d302bd17de4f7a695a87c21551c6331d5a3fa8ff8c63aa52ab5b089923d7e30b,Make ExpirationTrackerObserver final,pausa,normal,play,0.9,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
1990ca693119faca84520cd0b206e9bc2d6d114237a848ddacbab6d789e99960,Permanent orange: TEST-UNEXPECTED-FAIL |test-message-filters.js | test-message-filters.js::test_address_books_appear_in_message_filter_dropdown,pausa,normal,stop,0.95,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
7796aa1fc314ead35110feed7d70de944725df2dad87cafd3efb055cbde707c0,Error in error console when changing scope in searching within Bookmarks Manager,pausa,normal,pausa,0.75,deepseek_cache,play,0.75,crewai_cache,pausa,0.85,True,play,0
d002463a8be47bd70ddabdb485a2c022f633e40a70739def8143af42830dd8e1,jsDriver.pl Perl Getopt::Long does not support repeat qualifiers on options,pausa,normal,pausa,0.65,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
9f7cc071df506aeeae61bdb2992b93e5d713004926220f1c372b9bfe9d875bcf,"With GL layers enabled, Fennec crashes on startup",pausa,normal,stop,1.0,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
5142721eb544fc10c99ec0ec22015a194c9bf5bed81eef7f7406736f0406383a,"Fix ""overflow in implicit constant conversion"" in TestEncoding.cpp",pausa,normal,play,0.85,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
cccfd6956cb178ea9e30d89f430c5fe09829e9d99b32679d843963e95a890694,Crash in composer in PresShell::GetSelection,stop,critical,stop,0.95,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,stop,0.55,True,pausa,0
ffc199f69dbe0c19a5f00c8d8f8200a395760168ac2e8fbc99947929e80567f8,StretchDIBits takes too long - switch between optimizations at run time,stop,critical,play,0.85,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
a15968f264a0a5a5823e5aadba00e37cec7b4706774e718e19c66e496104a3e0,Illegal input exception while restoring a java source file.,pausa,normal,stop,0.9,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
424a5434267c76eec85fa294183a61aaba69ed6e1f50f134a26db117083466ae,Java shortcuts do not appear for .jar files,pausa,normal,pausa,0.85,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,stop,0.55,True,pausa,1
8b3ca72ec21a09322ffdc1d6578994edb8748e0b86f0b8cb845fcf4d77a4faf3,Clean up toolbarbutton CSS,pausa,normal,play,0.95,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
606ff878553e608a6f821f8157121b3e54130dc91433d72cf20bf22121ce3cf9,RIL: call state on SGS2 has extra uint32,pausa,normal,pausa,0.75,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
a65ba2f69cbf36ec623f09cdee5bbb045f67d4dab1ef656c3db36b8e571e8481,DVT33:TCT822: el - CDT - Broken link to cdt_t_show_proj_files.htm & cdt_t_prvw_hide_files.htm,play,minor,pausa,0.85,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
6bee8ab2b30d7982ca3b263e1edc31f3da5ae7aee1ebccf940d823c605ba5eff,MouseDown not delivered until drag started if a DragDetect listener is attached,pausa,normal,pausa,0.85,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
7da04aeb5a244fc1aa830b6c75753cb3ac623255051a293a33124ad9a84bf3d7,Marker testResourceMappings failure in I20080604-2000 on linux java 5.0,pausa,normal,stop,0.85,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
be2800396329f45330e450079b9f45a364e0ef4bd5f839dbd674be4e013456ce,css font-size doesn't work in table in div with a too long comment before <!DOCTYPE ...>,play,minor,pausa,0.85,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
70d5f6e2b5a125d696c76d001effaeb47a7542176633854823a7bd60c7ef7648,Dead code in buildASN1ObjectFromDER (security/manager/ssl/src/nsNSSASN1Object.cpp),play,minor,stop,0.85,deepseek_cache,pausa,0.45,abstencion_fuera_piloto_d5,pausa,0.45,False,pausa,0
97802e31db5b9870d66c4a859e3be949d075e11578b6b1e67c0ca2968f1230dc,Memory increase/leak when scrolling page rapidly,pausa,normal,pausa,0.75,deepseek_api,pausa,0.45,abstencion_fuera_piloto_d5,stop,0.55,True,pausa,0
